path,size_bytes,modified_utc,sha256,suffix,rows,json_records
output/gfs_global_daily.csv,1072,2026-07-28T08:55:48.705848+00:00,46bbc2c5827f1b5d8ec7ab139d51547aa1966176460a844c406353d9e1a2e73e,.csv,11,
output/gfs_global_daily_complete.csv,981,2026-07-28T11:32:49.723062+00:00,653f6b1a34130f5651935e98b367b034b232a1508905440e30b7729fe8ce66dc,.csv,10,
output/gfs_vs_gefs_20260728_00z.csv,2094,2026-07-28T11:33:26.815204+00:00,9e836be0289fab70cdf949f9fcb3018338c0539e6048fb69fea3f22af575bee6,.csv,10,
output/icon_20260728_00z_global_6hourly.csv,5452,2026-07-28T12:38:01.119792+00:00,db5a0e485975d09fcb0ea3e712dd12e5d44ea9893a95e1c875d0e87f4a78f8d7,.csv,31,
output/icon_20260728_00z_global_daily.csv,900,2026-07-28T12:38:01.120350+00:00,2cc78ccba20f274d8a8b793ae2a15df9324efb925c95740ed737ad87b0a59747,.csv,8,
output/icon_20260728_00z_global_daily_complete.csv,802,2026-07-28T12:38:01.120763+00:00,26a32a76891a7e0183ef258be2ca869ad971337006a4aca6f2154ac04e0cc5bc,.csv,7,
output/icon_20260728_00z_global_daily_complete.json,1874,2026-07-28T12:38:01.122535+00:00,a713967bdcd3f2fbd08e9545d7aa520c94f23ea6e75b03e355f163bf344691a1,.json,,7
output/multimodel_consensus_20260728_00z.csv,7898,2026-07-29T03:18:53.336552+00:00,6fa2daecb64c334c187165ac9a1d3c48a856d1fbeeb6c4a7af4b140d2cd39777,.csv,10,
output/multimodel_consensus_20260728_00z.json,16663,2026-07-29T03:18:53.337159+00:00,b00b7cf2696e8451cc8e20bb63a7f0141cf256deff3650dcd381f622a63163c8,.json,,10
output/verification/aifs_ens_20260728_00z_member_errors.csv,261,2026-07-29T03:33:37.216046+00:00,28303ae1d9e03e6b565d215290531d0124c6b51fcb50d7371cdef1059ade6815,.csv,0,
output/verification/aifs_ens_20260728_00z_vs_era5t.csv,332,2026-07-29T03:33:37.215657+00:00,f738aff07d3d49c65c1fd85ac2d234941bfd1d5346f4ae312e074e2bb4842a66,.csv,0,
output/verification/ecmwf_ens_20260728_00z_member_errors.csv,261,2026-07-29T03:33:37.000627+00:00,28303ae1d9e03e6b565d215290531d0124c6b51fcb50d7371cdef1059ade6815,.csv,0,
output/verification/ecmwf_ens_20260728_00z_vs_era5t.csv,334,2026-07-29T03:33:37.000484+00:00,b9b53222c9a1a4958273e07e7d3025c65030a4e91c1307df378dbf9ed8a0b319,.csv,0,
output/verification/gdps_20260728_00z_vs_era5t.csv,196,2026-07-29T03:33:36.362363+00:00,796733145b1b2c214436ff652b8e5a2d131d4a3ef9b797fcef87f8e5ef3a753a,.csv,0,
output/verification/gefs_20260728_00z_member_errors.csv,203,2026-07-29T03:33:36.150056+00:00,452e841454abfaa6758f37a5b0def673a0e62c1c0cff6b2510c065d210c70fcf,.csv,0,
output/verification/gefs_20260728_00z_vs_era5t.csv,236,2026-07-29T03:33:36.147914+00:00,3c3a8281e2d2fca0a70db61388568faed58562ccb1c693b0e0ca551d63757723,.csv,0,
output/verification/geps_20260728_00z_member_errors.csv,249,2026-07-29T03:33:36.786263+00:00,82c6093b6ab256bb45cd983a3a6169e23c0fafd93ce6dd66716be6351f2bcb9c,.csv,0,
output/verification/geps_20260728_00z_vs_era5t.csv,359,2026-07-29T03:33:36.786117+00:00,fe28b776e3ae125409b8e0146c9e92f569e3a117fc47b15be34f17e57ee5ebe0,.csv,0,
output/verification/gfs_20260728_00z_vs_era5t.csv,152,2026-07-29T03:33:36.146244+00:00,39384223281791722ced884b9b75e85f07a26bd2142f10998fde7c9c4c3ed4f4,.csv,0,
output/verification/icon_20260728_00z_vs_era5t.csv,260,2026-07-29T03:33:36.574166+00:00,731fec3d96e1cb57cbb2cb5fd4cdf8eab3f05ecf63bea042f9a82c01171c08e6,.csv,0,
output/verification/multimodel_consensus_20260728_00z_vs_era5t.csv,1011,2026-07-29T03:33:37.438240+00:00,d1055c6bb0dfb9faee3598a008f4976b04d8aa9a44725e3cb749fbfbf1ec4ca7,.csv,0,
